Title,Name [personal] (Creator),Place of Origin,Manufacturer,Date Issued,Subject - Topic,Abstract (Description),Contributing Repository
Micro-Pet 110,"Furlow, Kent",Hong Kong,,Circa 1980,Cameras--Hong Kong--Specimens,"The Micro-Pet 110 was a primitive plastic toy camera made about 1980 in China. It took photos on 110 film. There is no shutter-film advance interlock as on most 110 cameras, and no double exposure prevention.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Spartus Full-Vue,"Furlow, Kent",Chicago (Ill.),Spartus Camera Corporation,Circa 1948-1960,Cameras--Illinois--Chicago--Specimens; Twin-lens cameras--Specimens,"This is a reflex style twin lens box camera. It has a simple single shutter speed and set aperture. Some models can be used with a flash. The camera has an art-deco faceplate that came in various patterns. These cameras use type 120 roll films and are similar to the Spartus Super R-I , identical to the Full-Vue except it has a focusing lens and adjustable f/stops.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Foth Derby II,"Furlow, Kent",Berlin (Germany),C.F. Foth & Company,Circa 1931-1936,Cameras--Germany--Berlin--Specimens,"The Foth Derby II is small folding 127 format scale-focusing camera produced by the C.F. Foth & company from 1931-1936. It is a variant of the Derby I with a self-timer, a red crank on the top of the camera between the view finder and the shutter speed indicator. It is an extremely simple camera with scale focusing, a basic optical telescopic viewfinder, and rear window type film counter. The shutter is a horizontal travel cloth focal plane shutter with speeds from 1/25 to 1/500. The lens is a simple Anastigmat 50mm f/2.5, quite bright for its day, but uncoated. The shutter button is hidden. When looking at the camera from the front the shutter button is on the front of the body at the 10 o&apos;clock position, and is revealed when the camera is opened.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Rolleicord I Model 1a (Type 2),"Furlow, Kent",Braunschweig (Germany),Franke & Heidecke,Circa 1937-1938,Cameras--Germany--Braunschweig--Specimens; Rolleicord camera--Specimens; Twin-lens cameras--Specimens,The Rolleicord I Model 1a (Type 2) is a medium format Twin Lens Reflex (TLR) camera.,LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Kodak Brownie No. 2A,"Furlow, Kent",Rochester (N.Y.),Eastman Kodak Company,Circa 1904,Cameras--New York (State)--Rochester--Specimens; Brownie camera--Specimens; Kodak camera--Specimens,"The Kodak Brownie No. 2A had a case of leatherette covered card or, after 1924, metal box; metal film carrier; two reflecting finders. Case could be removed for loading by releasing two pivoted catches and pulling out the winding key. Originally priced at $3.00, the Brownie 2A introduced various appearance and technical improvements during its production run of several decades. With 116 roll film, image size was 2 1/2 by 4 1/2 inches. By 1912, over two million of these cameras were made.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Ensign E29,"Furlow, Kent",London (England),Ensign Ltd.,Circa 1930,Cameras--England--London--Specimens,"The Ensign E29 box camera was available in black as well as a variety of colors, this example is blue. It used 129 roll film.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Univex AF-2,"Furlow, Kent",New York (N.Y.),Universal Camera Corporation,Circa 1935,Cameras--New York (State)--New York--Specimens,"The Universal Camera Corporation of New York City, New York, was a manufacturer of low-priced cameras during the 1930s and 40s. The Univex AF series of miniature folding cameras were introduced in 1935. The AF-2 model had a body made of cast metal, struts and front plate of aluminum, and paper bellows.The camera front pulls straight out from the body suspended by a pair of lazy tong struts. The AF-2 has a simple, fixed aperture lens. The shutter has settings for instantaneous and time exposure. A wire frame viewfinder is sited through a crude, rectangular, hole cast into the top of the body. Exposures were counted through a red window. The AF-2 is distinguished by a decorative front plate of red, black and gold. Sister models were the AF, AF-3, AF-4 and AF-5, also known as the Minicam. All AF models required Univex #00 film, shooting six 1 1/8 x 1 1/2 inch (28 x 38mm) exposures per roll. Universal Camera Corporation attempted, with the introduction of this proprietary film size, to emulate the successful mark ting strategy of George Eastman by essentially giving away the cameras and making money on film sales and processing. Many Universal Camera Corporation cameras required Univex #00 film including the Univex A, a small Bakelite camera that sold for 39 cents in 1933.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Steky Steky III,"Furlow, Kent",Japan,Riken Kogaku,Circa 1950-1951,Cameras--Japan--Specimens,"The Steky III was one of the first Japanese cameras to use 16mm film, designed for double perforated film but could acommodate single perforated film as well. The image size is 10x14mm. It has an interchangeable 25mm lens, and several accessories available.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Sabre 620,"Furlow, Kent",Chicago (Ill.),Shaw-Harrison Corporation,Circa 1955,Cameras--Illinois--Chicago--Specimens,"The Sabre 620 was also called the Valiant 620, was inexpensive, available in a wide range of colors, and had a flash attachment.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
Ansco Pioneer,"Furlow, Kent",Binghamton (N.Y.),Ansco Company,Circa 1947 - 1953,Cameras--New York (State)--Binghamton--Specimens,"The Ansco Pioneer was made from 1947 to 1953 in Ansco’s Binghamton, New York plant. It was manufactured in two film sizes, 620 and the larger 616 (2 1/2 x 4 1/4 inch negative). The cameras are identical except the 616 has a larger body. The Pioneer is interesting in that the film plane is curved and the lens is designed to match the curvature of the film plane. It was basically the same as the Agfa Pioneer. It has a quite reliable viewfinder if the optics haven&apos;t become milky. Shutter speeds are instant (ca. 1/50 sec.) or bulb mode. Together with the F/14 lens this makes fast ISO 400 film preferable even for fine weather shots. The older models have no bulb mode and a red-capped shutter release lever at the lens tube instead of the red release button. The camera was designed by New York-born industrial designer Henry Dreyfuss who had previously made telephone designs for Bell Telephone Laboratories.",LSU Libraries. Special Collections|uri=http://id.loc.gov/authorities/names/no2015036095
